1500,15000,15000
58,30,830
30,73,647
35,20,92
0,47,1468
54,67,76
63,93,313
15,32,353
66,3,840
35,39,1301
52,15,27
52,93,646
35,6,895
2,92,444
86,31,937
92,93,1466
99,36,5
45,69,869
19,53,1288
65,68,622
16,62,829
42,68,76
31,60,62
19,46,102
87,49,548
11,14,523
74,56,1348
58,84,770
78,31,443
14,32,681
81,9,856
71,49,324
99,40,1068
22,65,1415
4,35,366
57,76,1481
79,30,1209
23,18,1441
81,87,1208
34,35,273
94,18,1312
61,16,736
19,41,255
92,37,853
9,43,166
40,98,1194
66,32,690
45,33,468
81,73,481
4,49,942
30,92,969
9,2,38
69,74,839
61,40,642
97,10,894
85,30,81
47,41,76
62,56,1225
98,86,389
57,77,1495
52,12,434
65,19,1390
94,64,686
9,39,1413
78,37,1154
65,78,19
2,37,652
71,32,436
17,57,127
73,80,1333
93,69,1350
49,5,122
58,50,1429
63,42,771
96,71,554
99,61,499
18,10,1159
62,32,153
84,90,910
18,43,753
55,41,382
76,64,1022
37,32,818
37,11,246
45,11,863
12,85,825
28,0,1244
24,86,909
62,37,296
63,87,577
0,98,46
80,48,301
50,59,1267
4,85,57
84,99,397
75,1,1224
54,43,53
60,44,1096
25,21,1119
9,27,35
84,13,578
87,24,1045
12,63,485
27,96,1059
36,60,686
25,96,933
92,86,1177
2,1,1345
83,61,849
42,13,1256
74,38,984
6,56,856
16,66,1208
21,45,310
77,76,911
12,70,785
80,8,276
84,3,129
47,29,42
31,3,1039
6,65,37
43,48,229
95,10,1419
0,90,582
51,0,299
12,64,761
4,74,1153
81,58,629
15,7,985
46,21,785
62,75,296
6,63,252
26,49,293
73,11,1104
71,6,206
8,85,1488
46,81,1244
4,79,835
43,74,1096
66,97,1331
90,99,702
25,35,376
44,41,1404
40,55,1064
91,94,813
55,27,632
19,78,1169
5,5,1146
67,82,188
1,59,1354
70,0,1092
36,64,597
50,59,996
15,78,1342
82,21,1194
56,39,1324
81,66,1245
83,61,26
58,78,308
24,4,566
43,8,1054
93,1,455
85,47,1207
99,64,1235
70,37,266
13,68,1308
47,26,79
54,24,701
81,17,73
45,65,986
91,58,675
51,26,1108
45,31,729
23,80,531
51,26,370
59,51,910
11,50,1040
51,28,1365
49,68,346
90,16,1408
84,63,300
92,8,59
82,87,982
52,21,330
50,51,903
72,41,1001
6,54,1377
47,65,1306
89,20,261
46,43,1162
43,67,673
67,0,227
41,48,17
79,98,1273
27,23,962
98,74,1495
